,Asset,Pipeline,AnomalyNum,Images,Description,DataSource,IMC_AnomalyCat,KP_StartAnomaly,DateLastMod,SourceFile
0,amethyst,PL649,19686,"['19686-01', '19686-02']",Start of pipeline exposure anomaly 19686,ROV,EXP,21.48337494507670,20190814 050928,amethyst\anoms_19.dat
1,amethyst,PL649,19687,"['19687-01', '19687-02']",Soft rope floating in water column (full extents not seen) - ROV hazard,ROV,DEB,22.26471613101290,20190814 043756,amethyst\anoms_19.dat
2,amethyst,PL649,19688,"['19688-01', '19688-02']",Start of pipeline exposure anomaly 19688,ROV,EXP,31.49624539681580,20190814 001612,amethyst\anoms_19.dat
3,amethyst,PL649,19689,"['19689-01', '19689-02']",Start of pipeline exposure anomaly 19689,ROV,EXP,31.51954712211480,20190814 001351,amethyst\anoms_19.dat
4,amethyst,PL649,19690,"['19690-01', '19690-02']",Start of pipeline exposure anomaly 19690,ROV,EXP,31.63213156210940,20190814 000730,amethyst\anoms_19.dat
5,amethyst,PL649,19691,"['19691-01', '19691-02']",Start of pipeline exposure anomaly 19691,ROV,EXP,31.66795474741120,20190814 000545,amethyst\anoms_19.dat
6,amethyst,PL649,19692,"['19692-01', '19692-02']",Start of pipeline exposure anomaly 19692,ROV,EXP,31.73944758874320,20190814 000030,amethyst\anoms_19.dat
7,amethyst,PL649,19693,"['19693-01', '19693-02']",Start of pipeline exposure anomaly 19693,ROV,EXP,31.82028907709930,20190813 235312,amethyst\anoms_19.dat
8,amethyst,PL649,19694,"['19694-01', '19694-02']",Start of pipeline exposure anomaly 19694,ROV,EXP,32.14292180419900,20190813 233437,amethyst\anoms_19.dat
9,amethyst,PL649,19695,"['19695-01', '19695-02']",Start of pipeline exposure anomaly 19695,ROV,EXP,32.28255472594370,20190813 232814,amethyst\anoms_19.dat
10,amethyst,PL649,19675,"['19675-01', '19675-02']",Start of pipeline exposure anomaly 19675,ROV,EXP,43.09332568250040,20190813 002230,amethyst\anoms_19.dat
