KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
59.7920,397487.308,5860049.654,080000,29072025,0.000,,Start of MBES Survey,,,,,1058,1002,,,12,1,0,,,,,,,,,,,,,,,,,,,,
61.5850,396702.116,5858442.898,080000,29072025,0.000,,End of MBES Survey,,,,,1039, 975,,,12,2,0,,,,,,,,,,,,,,,,,,,,
59.7920,397487.308,5860049.654,080000,29072025,0.000,,Nav Marker,,,,,1058,1002,-0.01,0.18,0,0,0,0,0,,,,,,,,,,,,,,,,,,
59.8040,397481.417,5860039.202,080000,29072025,0.000,,Nav Marker,,,,,1056,1000,0.05,0.3,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8160,397475.527,5860028.750,080000,29072025,0.000,,Nav Marker,,,,,1055,1001,0.06,0.27,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8280,397469.636,5860018.297,080000,29072025,0.000,,Nav Marker,,,,,1053,1000,0.08,0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8400,397464.442,5860007.523,080000,29072025,0.000,,Nav Marker,,,,,1055,1004,0.03,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8520,397460.222,5859996.298,080000,29072025,0.000,,Nav Marker,,,,,1057,1000,0.04,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8640,397456.002,5859985.073,080000,29072025,0.000,,Nav Marker,,,,,1054,1001,0.06,0.25,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8760,397451.782,5859973.848,080000,29072025,0.000,,Nav Marker,,,,,1057,1000,0.07,0.3,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.8880,397447.562,5859962.623,080000,29072025,0.000,,Nav Marker,,,,,1053,1002,0.05,0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9000,397443.342,5859951.398,080000,29072025,0.000,,Nav Marker,,,,,1054,1000,0.04,0.17,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9120,397439.122,5859940.173,080000,29072025,0.000,,Nav Marker,,,,,1055,1001,0.02,0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9240,397434.902,5859928.948,080000,29072025,0.000,,Nav Marker,,,,,1055,1002,0.04,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9360,397430.682,5859917.723,080000,29072025,0.000,,Nav Marker,,,,,1055,1002,0.04,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9480,397426.462,5859906.498,080000,29072025,0.000,,Nav Marker,,,,,1054,1001,0.04,0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9600,397422.242,5859895.273,080000,29072025,0.000,,Nav Marker,,,,,1053,1001,0.05,0.12,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9720,397418.022,5859884.048,080000,29072025,0.000,,Nav Marker,,,,,1057,1001,0.03,0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9840,397413.802,5859872.823,080000,29072025,0.000,,Nav Marker,,,,,1057,1002,0.06,0.16,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.9960,397409.582,5859861.598,080000,29072025,0.000,,Nav Marker,,,,,1055,1001,0.05,0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
60.0080,397404.845,5859850.601,080000,29072025,0.000,,Nav Marker,,,,,1055,1002,0.06,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
60.0200,397399.387,5859839.923,080000,29072025,0.000,,Nav Marker,,,,,1055,1002,0.03,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
60.0320,397393.928,5859829.245,080000,29072025,0.000,,Nav Marker,,,,,1055,1002,0.04,0.18,0,0,0,0,1,,,,,,,,,,,,,,,,,,
60.0440,397388.469,5859818.567,080000,29072025,0.000,,Nav Marker,,,,,1055,1002,0.06,0.17,0,0,0,0,1,,,,,,,,,,,,,,,,,,
