KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
29.9640,430891.942,5857859.865,080000,09082025,0.000,,Start of MBES Survey,,,,, nan, nan,,,12,1,0,,,,,,,,,,,,,,,,,,,,
33.1960,427931.842,5856592.142,080000,09082025,0.000,,End of MBES Survey,,,,, nan, nan,,,12,2,0,,,,,,,,,,,,,,,,,,,,
29.9640,430891.942,5857859.865,080000,09082025,0.000,,Nav Marker,,,,, nan, nan,-0.0,-0.44,0,0,0,0,0,,,,,,,,,,,,,,,,,,
29.9760,430881.140,5857854.512,080000,09082025,0.000,,Nav Marker,,,,, nan, nan,0.05,-0.27,0,0,0,0,1,,,,,,,,,,,,,,,,,,
29.9880,430870.814,5857848.651,080000,09082025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0000,430860.488,5857842.791,080000,09082025,0.000,,Nav Marker,,,,, nan, nan,0.06,-0.35,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0120,430850.163,5857836.930,080000,09082025,0.000,,Nav Marker,,,,, nan, nan,0.11,-0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0240,430839.960,5857830.880,080000,09082025,0.000,,Nav Marker,,,,, nan, nan,0.12,-0.22,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0360,430829.685,5857824.957,080000,09082025,0.370,,Nav Marker,,,,, nan, nan,0.1,0.2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0480,430819.368,5857819.093,080000,09082025,0.550,,Nav Marker,,,,, nan, nan,0.26,0.93,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0600,430809.132,5857812.910,080000,09082025,0.050,,Nav Marker,,,,, nan, nan,0.35,1.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0720,430798.650,5857807.176,080000,09082025,0.050,,Nav Marker,,,,, nan, nan,0.3,1.37,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0840,430788.143,5857801.487,080000,09082025,0.110,,Nav Marker,,,,, nan, nan,0.19,1.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.0960,430777.668,5857795.739,080000,09082025,0.100,,Nav Marker,,,,, nan, nan,0.25,1.57,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.1080,430766.977,5857790.259,080000,09082025,0.110,,Nav Marker,,,,, nan, nan,0.26,1.64,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.1200,430756.321,5857784.579,080000,09082025,-0.300,,Nav Marker,,,,, nan, nan,0.33,1.46,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.1320,430745.476,5857779.279,080000,09082025,-0.280,,Nav Marker,,,,, nan, nan,0.4,1.41,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.1440,430734.504,5857774.239,080000,09082025,0.030,,Nav Marker,,,,, nan, nan,0.24,1.63,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.1560,430723.467,5857769.416,080000,09082025,0.260,,Nav Marker,,,,, nan, nan,0.3,1.69,0,0,0,0,1,,,,,,,,,,,,,,,,,,
30.1680,430712.477,5857764.507,080000,09082025,0.190,,Nav Marker,,,,, nan, nan,0.34,1.89,0,0,0,0,1,,,,,,,,,,,,,,,,,,
