KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.2366,309995.781,5949173.870,080000,26072025,0.000,,ProtectiveTunnel_Start,,nan,,,-1292,-1027,,,4,20,1,,,,,,,,,,,,,,,,,,,,
0.3107,310068.944,5949187.372,080000,26072025,2.621,,ProtectiveTunnel_END,,nan,,,-1292,-1027,,,4,20,2,,,,,,,,,,,,,,,,,,,,
0.2829,310041.077,5949182.974,080000,26072025,0.813,,Support Structure,,nan,,,-1292,-1027,,,0,0,0,,,,,,,,,,,,,,,,,,,,
0.3155,310075.664,5949180.221,080000,26072025,11.092,,Support Structure,,nan,,,-1292,-1027,,,0,0,0,,,,,,,,,,,,,,,,,,,,
0.3218,310082.599,5949178.550,080000,26072025,14.270,,Support Structure,,nan,,,-1292,-1027,,,0,0,0,,,,,,,,,,,,,,,,,,,,
0.7121,310457.140,5949287.660,080000,26072025,0.007,,Stabilisation Mattress,,nan,,,-1242,-1028,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.7090,310454.067,5949287.265,080000,26072025,0.000,,Stabilisation Mattress,,nan,,,-1240,-1022,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.6107,310357.339,5949270.367,080000,26072025,-0.002,,Stabilisation Mattress,,nan,,,-1255,-1024,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.6140,310360.630,5949271.130,080000,26072025,0.000,,Stabilisation Mattress,,nan,,,-1254,-1027,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.6256,310372.171,5949273.645,080000,26072025,0.164,,Stabilisation Mattress,,nan,,,-1256,-1024,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.6299,310376.370,5949274.410,080000,26072025,0.333,,Stabilisation Mattress,,nan,,,-1255,-1026,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.6492,310395.370,5949277.830,080000,26072025,0.483,,Stabilisation Mattress,,nan,,,-1251,-1026,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.6529,310398.950,5949278.640,080000,26072025,0.348,,Stabilisation Mattress,,nan,,,-1252,-1028,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.6689,310414.710,5949281.110,080000,26072025,0.832,,Stabilisation Mattress,,nan,,,-1241,-1030,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.6724,310418.060,5949281.760,080000,26072025,0.793,,Stabilisation Mattress,,nan,,,-1234,-1030,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.6889,310434.230,5949284.670,080000,26072025,0.003,,Stabilisation Mattress,,nan,,,-1240,-1025,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.6919,310437.210,5949285.060,080000,26072025,0.002,,Stabilisation Mattress,,nan,,,-1230,-1024,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.7353,310479.940,5949290.650,080000,26072025,-0.004,,Stabilisation Mattress,,nan,,,-1239,-1011,,,3,5,1,,,,,,,,,,,,,,,,,,,,
0.7385,310483.100,5949291.060,080000,26072025,0.000,,Stabilisation Mattress,,nan,,,-1244,-1005,,,3,5,2,,,,,,,,,,,,,,,,,,,,
0.9032,310644.420,5949323.910,080000,26072025,-1.132,,Stabilisation Mattress,,nan,,,-1250,-1027,,,3,5,1,,,,,,,,,,,,,,,,,,,,
