KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
4.9680,444107.695,5877474.901,140000,29072025,0.000,,Start of MBES Survey,,,,, nan, nan,,,12,1,0,,,,,,,,,,,,,,,,,,,,
7.7100,441511.199,5876633.887,140000,29072025,0.000,,End of MBES Survey,,,,, nan, nan,,,12,2,0,,,,,,,,,,,,,,,,,,,,
4.9680,444107.695,5877474.901,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.03,-0.3,0,0,0,0,1,,,,,,,,,,,,,,,,,,
4.9800,444096.885,5877469.588,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,0.23,0,0,0,0,1,,,,,,,,,,,,,,,,,,
4.9920,444086.076,5877464.275,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,0.57,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0040,444075.267,5877458.962,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,-0.57,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0160,444064.458,5877453.649,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.07,-0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0280,444053.649,5877448.336,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.47,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0400,444042.840,5877443.023,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,-0.19,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0520,444032.031,5877437.710,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,-0.48,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0640,444021.221,5877432.397,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,-0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0760,444010.412,5877427.084,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.25,-0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.0880,443999.603,5877421.771,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,0.38,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1000,443988.322,5877417.829,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1120,443976.804,5877414.573,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.45,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1240,443965.286,5877411.317,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,-0.43,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1360,443953.769,5877408.060,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,0.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1480,443942.251,5877404.804,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,0.55,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1600,443930.734,5877401.548,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.52,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1720,443919.216,5877398.291,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,-0.4,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1840,443907.698,5877395.035,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.08,0.44,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.1960,443896.181,5877391.779,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,-0.68,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2080,443884.663,5877388.523,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.18,0.79,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2200,443873.146,5877385.266,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,-0.62,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2320,443861.628,5877382.010,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.7,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2440,443850.111,5877378.754,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.18,-0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2560,443838.593,5877375.497,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,-0.85,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2680,443827.075,5877372.241,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.41,0.75,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2800,443815.558,5877368.985,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,0.52,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.2920,443804.132,5877365.510,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,-0.38,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3040,443793.711,5877359.630,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3160,443783.289,5877353.750,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.19,0.39,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3280,443772.868,5877347.870,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.16,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3400,443762.171,5877342.467,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.5,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3520,443751.447,5877337.107,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3640,443740.724,5877331.747,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3760,443729.555,5877327.278,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,0.34,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.3880,443718.162,5877323.256,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,0.15,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4000,443706.768,5877319.234,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.35,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4120,443695.375,5877315.212,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,-0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4240,443684.087,5877311.160,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,0.15,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4360,443673.007,5877307.049,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.21,0.16,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4480,443661.927,5877302.938,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4600,443650.800,5877298.882,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,-0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4720,443639.160,5877295.424,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4840,443627.520,5877291.967,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.4960,443616.104,5877288.057,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5080,443605.000,5877283.514,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.27,0.2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5200,443593.897,5877278.971,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5320,443582.794,5877274.429,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,-0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5440,443571.690,5877269.886,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5560,443560.587,5877265.343,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.16,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5680,443549.484,5877260.800,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,-0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5800,443538.381,5877256.257,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.25,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.5920,443527.277,5877251.714,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.36,0.12,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6040,443516.174,5877247.171,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,-0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6160,443505.071,5877242.629,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.39,0.26,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6280,443493.967,5877238.086,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.23,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6400,443482.864,5877233.543,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6520,443471.761,5877229.000,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6640,443460.657,5877224.457,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6760,443449.537,5877219.964,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,-0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.6880,443438.365,5877215.620,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7000,443427.193,5877211.275,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7120,443416.020,5877206.931,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.18,0.15,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7240,443404.848,5877202.587,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7360,443393.676,5877198.242,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.25,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7480,443382.504,5877193.898,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.16,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7600,443371.332,5877189.554,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.37,0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7720,443360.160,5877185.209,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.19,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7840,443348.988,5877180.865,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.34,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.7960,443337.815,5877176.521,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.16,0.27,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8080,443326.643,5877172.176,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8200,443315.471,5877167.832,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.19,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8320,443303.714,5877165.545,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.22,-0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8440,443291.904,5877163.446,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.22,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8560,443280.094,5877161.346,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.24,0.12,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8680,443268.284,5877159.246,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.19,0.02,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8800,443256.474,5877157.147,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.8920,443244.664,5877155.047,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.23,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9040,443232.854,5877152.947,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9160,443221.044,5877150.848,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9280,443209.234,5877148.748,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,-0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9400,443197.424,5877146.648,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.24,0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9520,443185.614,5877144.549,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.21,0.15,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9640,443173.803,5877142.449,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,-0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9760,443161.993,5877140.349,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.16,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
5.9880,443150.183,5877138.250,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.17,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0000,443138.410,5877135.983,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.16,0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0120,443126.712,5877133.384,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0240,443115.013,5877130.784,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0360,443103.314,5877128.184,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0480,443091.615,5877125.584,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0600,443079.916,5877122.984,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.22,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0720,443068.217,5877120.385,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.06,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0840,443056.518,5877117.785,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.0960,443044.819,5877115.185,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1080,443033.121,5877112.585,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1200,443021.422,5877109.985,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1320,443009.723,5877107.385,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,-0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1440,442998.024,5877104.786,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1560,442986.325,5877102.186,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,0.14,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1680,442974.626,5877099.586,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.1,-0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1800,442962.927,5877096.986,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,-0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.1920,442951.228,5877094.386,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.16,0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2040,442939.530,5877091.787,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.18,0.16,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2160,442928.407,5877087.466,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.2,0.17,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2280,442917.573,5877082.284,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,-0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2400,442906.738,5877077.103,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2520,442895.904,5877071.921,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.12,0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2640,442885.069,5877066.739,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,0.1,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2760,442874.235,5877061.558,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.19,0.2,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.2880,442863.400,5877056.376,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3000,442852.566,5877051.195,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.19,0.12,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3120,442841.731,5877046.013,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.17,0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3240,442830.897,5877040.832,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.2,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3360,442820.062,5877035.650,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3480,442809.228,5877030.469,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.18,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3600,442798.393,5877025.287,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.14,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3720,442787.559,5877020.106,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.03,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3840,442776.725,5877014.924,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.13,0.15,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.3960,442765.890,5877009.743,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.11,-0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.4080,442754.824,5877005.282,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.15,0.21,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.4200,442743.434,5877001.830,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.06,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
6.4320,442732.045,5876998.379,140000,29072025,0.000,,Nav Marker,,,,, nan, nan,0.09,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
