KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
59.2890,396418.024,5860839.488,100000,29072025,0.000,,Start of MBES Survey,,,,,1018,1009,,,12,1,0,,,,,,,,,,,,,,,,,,,,
61.2620,396223.719,5858876.984,100000,29072025,0.000,,End of MBES Survey,,,,,1037,1028,,,12,2,0,,,,,,,,,,,,,,,,,,,,
59.2890,396418.024,5860839.488,100000,29072025,0.000,,Nav Marker,,,,,1018,1009,0.18,0.34,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3010,396416.935,5860827.574,100000,29072025,0.340,,Nav Marker,,,,,1028,1015,0.2,0.19,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3130,396416.283,5860815.604,100000,29072025,0.000,,Nav Marker,,,,,1026,1020,0.03,-0.07,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3250,396414.945,5860803.638,100000,29072025,0.000,,Nav Marker,,,,,1035,1029,0.02,-0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3370,396413.607,5860791.672,100000,29072025,0.000,,Nav Marker,,,,,1035,1029,0.03,-0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3490,396412.270,5860779.707,100000,29072025,0.000,,Nav Marker,,,,,1027,1023,0.01,-0.91,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3610,396410.932,5860767.741,100000,29072025,0.000,,Nav Marker,,,,,1028,1021,0.03,-0.16,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3730,396409.594,5860755.775,100000,29072025,0.000,,Nav Marker,,,,,1025,1013,0.06,-0.49,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3850,396408.257,5860743.809,100000,29072025,0.000,,Nav Marker,,,,,1017,1010,0.07,-0.68,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.3970,396406.919,5860731.843,100000,29072025,0.000,,Nav Marker,,,,,1018,1011,0.04,-0.99,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4090,396405.581,5860719.877,100000,29072025,0.000,,Nav Marker,,,,,1025,1017,0.08,-0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4210,396404.243,5860707.911,100000,29072025,0.000,,Nav Marker,,,,,1026,1015,0.02,-0.8,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4330,396402.906,5860695.945,100000,29072025,0.000,,Nav Marker,,,,,1018,1015,0.04,-0.09,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4450,396401.568,5860683.979,100000,29072025,0.000,,Nav Marker,,,,,1020,1014,0.04,-0.52,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4570,396400.230,5860672.013,100000,29072025,0.000,,Nav Marker,,,,,1013,1006,0.06,-0.41,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4690,396398.893,5860660.048,100000,29072025,0.000,,Nav Marker,,,,,1012,1006,0.04,-0.27,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4810,396397.555,5860648.082,100000,29072025,0.000,,Nav Marker,,,,,1013,1004,0.02,-0.64,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.4930,396396.217,5860636.116,100000,29072025,0.000,,Nav Marker,,,,,1016,1008,0.02,-0.32,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.5050,396394.837,5860624.217,100000,29072025,0.000,,Nav Marker,,,,,1016,1013,0.07,-0.5,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.5170,396393.425,5860612.367,100000,29072025,0.000,,Nav Marker,,,,,1014,1006,0.06,-0.27,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.5290,396392.014,5860600.516,100000,29072025,0.000,,Nav Marker,,,,,1017,1009,0.05,-0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.5410,396390.102,5860588.725,100000,29072025,0.500,,Nav Marker,,,,,1020,1013,0.11,-0.23,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.5530,396388.450,5860576.903,100000,29072025,0.750,,Nav Marker,,,,,1025,1015,0.06,-0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
59.5650,396387.779,5860564.964,100000,29072025,0.000,,Nav Marker,,,,,1025,1017,0.04,0.0,0,0,0,0,1,,,,,,,,,,,,,,,,,,
