KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.1885,309627.500,5950229.000,080000,26072025,2.401,,Protective structure,,nan,,,-991,-991,,,4,2,0,,,,,,,,,,,,,,,,,,,,
0.1996,309634.820,5950237.280,080000,26072025,2.339,,Protective structure,,nan,,,-991,-991,,,4,2,0,,,,,,,,,,,,,,,,,,,,
0.1760,309619.130,5950219.640,080000,26072025,2.400,,Protective structure,,nan,,,-994,-993,,,4,2,0,,,,,,,,,,,,,,,,,,,,
0.1914,309626.110,5950234.090,080000,26072025,-2.028,,Protective structure,,nan,,,-993,-990,,,4,2,0,,,,,,,,,,,,,,,,,,,,
0.1500,309600.018,5950201.865,080000,26072025,0.000,,Start of MBES Survey,,,,,-998,-996,,,12,1,0,,,,,,,,,,,,,,,,,,,,
1.2700,310345.075,5951038.632,080000,26072025,0.000,,End of MBES Survey,,,,,-1004,-1003,,,12,2,0,,,,,,,,,,,,,,,,,,,,
0.1500,309600.018,5950201.865,080000,26072025,0.000,,Nav Marker,,,,,-998,-996,0.1,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1620,309608.019,5950210.814,080000,26072025,0.000,,Nav Marker,,,,,-996,-994,0.09,0.11,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1740,309616.021,5950219.763,080000,26072025,0.000,,Nav Marker,,,,,-994,-992,0.09,-0.24,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1860,309624.022,5950228.712,080000,26072025,0.000,,Nav Marker,,,,,-987,-990,0.1,-0.26,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.1980,309632.023,5950237.661,080000,26072025,0.000,,Nav Marker,,,,,-991,-990,0.22,0.01,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2100,309640.025,5950246.611,080000,26072025,0.000,,Nav Marker,,,,,-992,-993,0.09,0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.2220,309648.026,5950255.560,080000,26072025,0.000,,Nav Marker,,,,,-995,-993,0.1,0.05,0,0,0,0,1,,,,,,,,,,,,,,,,,,
