KP CPP
1.600000000000000000e+02 3.640000000000000000e+03
1.600099999999999909e+02 1.296000000000000000e+03
1.600199999999999818e+02 3.733000000000000000e+03
1.600299999999999727e+02 2.508000000000000000e+03
1.600399999999999636e+02 2.653000000000000000e+03
1.600499999999999545e+02 2.693000000000000000e+03
1.600599999999999454e+02 2.581000000000000000e+03
1.600699999999999363e+02 1.790000000000000000e+03
1.600799999999999272e+02 3.462000000000000000e+03
1.600899999999999181e+02 3.997000000000000000e+03
1.600999999999999091e+02 6.251000000000000000e+03
1.601099999999999000e+02 3.292000000000000000e+03
1.601199999999998909e+02 6.248000000000000000e+03
1.601299999999998818e+02 4.695000000000000000e+03
1.601399999999998727e+02 2.765000000000000000e+03
1.601499999999998636e+02 1.754000000000000000e+03
1.601599999999998545e+02 6.026000000000000000e+03
1.601699999999998454e+02 6.977000000000000000e+03
1.601799999999998363e+02 4.283000000000000000e+03
1.601899999999998272e+02 5.140000000000000000e+03
1.601999999999998181e+02 3.024000000000000000e+03
1.602099999999998090e+02 6.727000000000000000e+03
1.602199999999997999e+02 4.001000000000000000e+03
1.602299999999997908e+02 5.505000000000000000e+03
1.602399999999997817e+02 3.382000000000000000e+03
1.602499999999997726e+02 4.899000000000000000e+03
1.602599999999997635e+02 5.486000000000000000e+03
1.602699999999997544e+02 5.334000000000000000e+03
1.602799999999997453e+02 5.929000000000000000e+03
1.602899999999997362e+02 6.454000000000000000e+03
1.602999999999997272e+02 2.979000000000000000e+03
1.603099999999997181e+02 1.280000000000000000e+03
1.603199999999997090e+02 2.923000000000000000e+03
1.603299999999996999e+02 1.111000000000000000e+03
1.603399999999996908e+02 4.303000000000000000e+03
1.603499999999996817e+02 1.382000000000000000e+03
1.603599999999996726e+02 2.116000000000000000e+03
1.603699999999996635e+02 3.352000000000000000e+03
1.603799999999996544e+02 6.524000000000000000e+03
1.603899999999996453e+02 2.254000000000000000e+03
1.603999999999996362e+02 6.831000000000000000e+03
1.604099999999996271e+02 1.661000000000000000e+03
1.604199999999996180e+02 5.027000000000000000e+03
1.604299999999996089e+02 4.524000000000000000e+03
1.604399999999995998e+02 5.903000000000000000e+03
1.604499999999995907e+02 3.149000000000000000e+03
1.604599999999995816e+02 6.686000000000000000e+03
1.604699999999995725e+02 6.288000000000000000e+03
1.604799999999995634e+02 4.287000000000000000e+03
1.604899999999995543e+02 4.806000000000000000e+03
1.604999999999995453e+02 5.041000000000000000e+03
1.605099999999995362e+02 4.938000000000000000e+03
1.605199999999995271e+02 1.890000000000000000e+03
