Assett,Pipeline,KPnearshore,KPoffshore,WTnominal_mm,ODsteel_less_coating_in,CorrosionCoating_mm,WeightCoating_mm
Dimlington,PL447,0.3,1.3,19.05,36,5,100
Dimlington,PL28,0.4,1.5,13.5,16,0.5,89
Dimlington,PL145,0.5,1.6,15.8,24,0.5,63.5
Dimlington,PL649,0.3,1.6,23.8,30,5.5,100
Bacton,PL876,61.2,59.6,19.1,20,0.55,125
Bacton,PL253,203.3,201.2,22.2,24,5,51
Bacton,PL23,7.5,5,13.8,30,5.6,76
Bacton,PL23,61.2,59.8,13.8,30,5.6,76
Bacton,PL23,61.2,61.5,13.8,30,5.6,103
Bacton,PL24,31.1,30,14.7,30,5.6,86
Bacton,PL24,33,31.1,14.7,30,5.6,106
Bacton,PL24,64.8,63.7,14.7,30,5.6,106
Bacton,PL24,65,64.8,14.7,30,5.6,95
