non_full_visual,structural_inspection,Primary,Secondary,Tertiary,PrimaryDescription,SecondaryDescription,TertiaryDescription
1,0,0,0,0,Nav-marker,,
1,0,1,1,0,Anode,Bracelet,
0,0,1,1,1,Anode,Bracelet,slight wastage (0-25%)
0,0,1,1,2,Anode,Bracelet,moderate wastage (25-50%)
0,0,1,1,3,Anode,Bracelet,heavy wastage (50-75%)
0,0,1,1,4,Anode,Bracelet,total wastage (75-100%)
0,0,1,1,5,Anode,Bracelet,clamp only seen
0,0,1,1,6,Anode,Bracelet,buried
0,0,1,2,0,Anode,Remote clamp,
0,0,1,2,1,Anode,Remote clamp,slight wastage
0,0,1,2,2,Anode,Remote clamp,moderate wastage
0,0,1,2,3,Anode,Remote clamp,heavy wastage
0,0,1,2,4,Anode,Remote clamp,total wastage
0,0,1,2,5,Anode,Remote clamp,clamp only seen
0,0,1,2,6,Anode,Remote clamp,buried
1,0,1,3,0,Anode,Remote sled,
0,0,1,3,1,Anode,Remote sled,slight wastage
0,0,1,3,2,Anode,Remote sled,moderate wastage
0,0,1,3,3,Anode,Remote sled,heavy wastage
0,0,1,3,4,Anode,Remote sled,total wastage
0,0,1,3,5,Anode,Remote sled,clamp only seen
0,0,1,3,6,Anode,Remote sled,buried
0,0,1,4,0,Anode,Bar,
1,0,2,1,0,Field Joint,Normal,
1,0,2,2,0,Field Joint,Buckle arrestor,
1,0,3,1,0,Stabilisation,Concrete saddle,
1,0,3,1,1,Stabilisation,Concrete saddle,Start
1,0,3,1,2,Stabilisation,Concrete saddle,End
1,0,3,1,3,Stabilisation,Concrete saddle,continuing
1,0,3,1,4,Stabilisation,Concrete saddle,displaced
1,0,3,2,0,Stabilisation,Canvas mattress,
1,0,3,2,1,Stabilisation,Canvas mattress,Start
1,0,3,2,2,Stabilisation,Canvas mattress,End
1,0,3,2,3,Stabilisation,Canvas mattress,continuing
1,0,3,2,4,Stabilisation,Canvas mattress,displaced
1,0,3,3,0,Stabilisation,Netting mattress,
1,0,3,3,1,Stabilisation,Netting mattress,Start
1,0,3,3,2,Stabilisation,Netting mattress,End
1,0,3,3,3,Stabilisation,Netting mattress,continuing
1,0,3,3,4,Stabilisation,Netting mattress,displaced
1,0,3,4,0,Stabilisation,Flexiweight,
1,0,3,4,1,Stabilisation,Flexiweight,Start
1,0,3,4,2,Stabilisation,Flexiweight,End
1,0,3,4,3,Stabilisation,Flexiweight,continuing
1,0,3,4,4,Stabilisation,Flexiweight,displaced
1,0,3,5,0,Stabilisation,Mattress,
1,0,3,5,1,Stabilisation,Mattress,Start
1,0,3,5,2,Stabilisation,Mattress,End
1,0,3,5,3,Stabilisation,Mattress,continuing
1,0,3,5,4,Stabilisation,Mattress,displaced
1,0,3,6,0,Stabilisation,Artificial seaweed,
